Book Id,Title,Author,ISBN,My Rating,Average Rating,Publisher,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Read Count,Series
228665,"The Eye of the World (The Wheel of Time, #1)",Robert Jordan,0812511816,5,4.19,Tor Books,800,1990.0,1990.0,2020-07-20,2020-02-26,"favorites, read",1,The Wheel of Time
16031812,"A Memory of Light (Wheel of Time, #14)",Robert Jordan,,5,4.55,Tor Books,1025,2013.0,2013.0,2020-08-11,2020-08-09,"books_worth_rereading, favorites, read",1,Wheel of Time
26032825,"The Cruel Prince (The Folk of the Air, #1)",Holly Black,,5,4.08,"Little, Brown Books for Young Readers",370,2018.0,2018.0,2020-08-26,2020-04-25,"books_i_own, favorites, read",1,The Folk of the Air
1215032,"The Wise Man's Fear (The Kingkiller Chronicle, #2)",Patrick Rothfuss,0756404738,5,4.55,DAW Books,994,2011.0,2011.0,2020-03-26,2020-03-25,"books_worth_rereading, favorites, books_i_own, read",2,The Kingkiller Chronicle
26032887,"The Wicked King (The Folk of the Air, #2)",Holly Black,0316310336,5,4.33,"Little, Brown Books for Young Readers",336,2019.0,2019.0,2020-08-27,2020-04-25,"books_i_own, read",1,The Folk of the Air
68429,"The Well of Ascension (Mistborn, #2)",Brandon Sanderson,0765316889,5,4.38,Tor Books,590,2007.0,2007.0,2020-04-05,2020-03-30,"books_worth_rereading, favorites, books_i_own, read",1,Mistborn
561456,"The Titan's Curse (Percy Jackson and the Olympians, #3)",Rick Riordan,0141382899,5,4.36,Puffin Books,320,2007.0,2007.0,2020-10-13,2020-02-26,"books_i_own, read",3,Percy Jackson and the Olympians
42769202,"Starsight (Skyward, #2)",Brandon Sanderson,1473217903,5,4.4,Orion Publishing Co,461,2019.0,2019.0,2020-07-13,2020-07-03,"books_i_own, read",1,Skyward
36642458,"Skyward (Skyward, #1)",Brandon Sanderson,1473217857,5,4.49,Gollancz,513,2018.0,2018.0,2020-07-05,2020-07-03,"books_worth_rereading, favorites, books_i_own, read",1,Skyward
28186,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",Rick Riordan,0786856866,5,4.24,Hyperion Books,279,2006.0,2006.0,2020-10-13,2020-04-02,"books_i_own, read",2,Percy Jackson and the Olympians
68428,"The Final Empire (Mistborn, #1)",Brandon Sanderson,,5,4.47,Tor Books,541,2006.0,2006.0,2020-03-30,2020-03-26,"books_worth_rereading, favorites, books_i_own, read",2,Mistborn
186074,"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss,075640407X,5,4.52,Penguin Group DAW,662,2007.0,2007.0,2020-03-24,2020-02-27,"books_worth_rereading, favorites, books_i_own, read",2,The Kingkiller Chronicle
2767793,"The Hero of Ages (Mistborn, #3)",Brandon Sanderson,0765316897,5,4.51,Tor Books,572,2008.0,2008.0,2020-04-08,2020-03-30,"books_worth_rereading, favorites, books_i_own, read",1,Mistborn
1582996,"City of Ashes (The Mortal Instruments, #2)",Cassandra Clare,1416914293,4,4.13,Margaret K. McElderry Books,453,2008.0,2008.0,2020-10-05,2020-04-11,"books_i_own, read",1,The Mortal Instruments
